#00#Tue Apr 13 10:08:46 2021#ListeOddity_1.txt
Vowel	Sound Files	Response	FirstResponse	Result	Response Time	NbErreurs	nbRepetitions
v_putt_H05-v_putt_H07-a_pat_H08	a	3	3	1	4.791903871999239	0	0
i_min_H07-I_mean_H04-I_mean_H05	i	1	1	1	0.0245516460017825	0	0
i_bin_H04-I_bean_H09-I_bean_H07	i	1	1	1	0.13176803500027745	0	0
i_chip_F07-I_cheap_F09-I_cheap_F04	i	1	1	1	0.028508759998658206	0	0
v_luck_F04-v_luck_F08-A_lark_F06	A	3	1	0	0.026345493002736475	2	0
v_mutt_H05-A_mart_H08-A_mart_H06	v	1	1	1	4.614036957002099	0	0
v_buck_F05-A_bark_F04-A_bark_F07	v	1	2	0	0.6479290130009758	2	0
v_cup_H06-a_cap_H07-a_cap_H04	v	1	1	1	0.5077455700011342	0	0
a_back_F04-v_buck_F08-a_back_F07	v	2	2	1	0.8963165499990282	0	0
v_cup_F06-a_cap_F07-a_cap_F04	v	1	1	1	0.4337348799999745	0	0
A_bark_H06-v_buck_H04-A_bark_H09	v	2	2	1	1.9383784279998508	0	0
I_bean_H06-i_bin_H09-i_bin_H07	I	1	1	1	2.723931692999031	0	0
v_luck_F09-A_lark_F05-v_luck_F07	A	2	2	1	2.89353185499931	0	0
a_pat_H08-a_pat_H06-v_putt_H04	v	3	3	1	1.9300575679990288	0	0
v_luck_F05-a_lack_F06-v_luck_F07	a	2	2	1	1.9774492230026226	0	0
i_bik_F08-i_bik_F05-I_beak_F04	I	3	3	1	2.310286334999546	0	0
i_lick_H08-i_lick_H09-I_leak_H06	I	3	3	1	2.811755995000567	0	0
v_cup_F05-v_cup_F06-a_cap_F07	a	3	3	1	3.723375620000297	0	0
I_bean_F07-i_bin_F04-I_bean_F08	i	2	2	1	2.9719210699986434	0	0
A_carp_H05-v_cup_H06-A_carp_H07	v	2	2	1	5.258699664998858	0	0
v_putt_H08-A_part_H09-v_putt_H05	A	2	2	1	2.221674174998043	0	0
I_leak_H09-i_lick_H08-i_lick_H06	I	1	1	1	5.024885725000786	0	0
a_cap_H05-a_cap_H07-v_cup_H09	v	3	3	1	3.0296120020029775	0	0
a_mat_F06-v_mutt_F07-v_mutt_F05	a	1	2	0	0.0242046429993934	2	0
i_bin_F09-I_bean_F06-i_bin_F08	I	2	2	1	2.573101938000036	0	0

#TotalErreurs#10TempsTotal#4min 58sec
#00#Wed Apr 28 15:00:14 2021#ListeOddity_1.txt
Vowel	Sound Files	Response	FirstResponse	Result	Response Time	NbErreurs	nbRepetitions
i_chip_F05-i_chip_F08-I_cheap_F04	I	3	3	1	0.4327848280008766	0	0
A_lark_H04-v_luck_H05-A_lark_H07	v	2	3	0	0.023899644998891745	2	1
I_bean_F07-i_bin_F04-I_bean_F08	i	2	3	0	0.04759576300057233	2	0
I_mean_F05-i_min_F04-i_min_F08	I	1	1	1	1.0943412150008953	0	0
v_buck_F04-v_buck_F05-A_bark_F09	A	3	3	1	0.9865466320006817	0	0
v_putt_H08-A_part_H09-v_putt_H05	A	2	2	1	2.095800400000371	0	0
I_leak_F09-i_lick_F08-i_lick_F06	I	1	1	1	1.1574091599995882	0	0
v_mutt_F05-v_mutt_F07-A_mart_F08	A	3	2	0	0.29753292799978226	2	0
v_luck_H04-v_luck_H09-a_lack_H06	a	3	3	1	1.125570879999941	0	0
